,type,gene,strand,start,end,gene gc%,locus_tag
0,source,,1,0,4215606,43.51440813017155,
1,gene,['dnaA'],1,409,1750,40.1193139448173,BSU_00010
2,CDS,['dnaA'],1,409,1750,40.1193139448173,BSU_00010
3,gene,['dnaN'],1,1938,3075,39.92963940193492,BSU_00020
4,CDS,['dnaN'],1,1938,3075,39.92963940193492,BSU_00020
5,gene,['rlbA'],1,3205,3421,43.51851851851852,BSU_00030
6,CDS,['rlbA'],1,3205,3421,43.51851851851852,BSU_00030
7,gene,['recF'],1,3436,4549,45.55256064690027,BSU_00040
8,CDS,['recF'],1,3436,4549,45.55256064690027,BSU_00040
9,gene,['remB'],1,4566,4812,36.99186991869919,BSU_00050
10,CDS,['remB'],1,4566,4812,36.99186991869919,BSU_00050
11,gene,['gyrB'],1,4866,6783,45.01825769431404,BSU_00060
12,CDS,['gyrB'],1,4866,6783,45.01825769431404,BSU_00060
13,gene,['gyrA'],1,6993,9459,44.40389294403893,BSU_00070
14,CDS,['gyrA'],1,6993,9459,44.40389294403893,BSU_00070
16,rRNA,['rrnO-16S'],1,9809,11364,55.048231511254016,BSU_rRNA_1
15,gene,['rrnO-16S'],1,9809,11364,55.048231511254016,BSU_rRNA_1
17,gene,['trnO-Ile'],1,11463,11540,62.33766233766234,BSU_tRNA_5
18,tRNA,['trnO-Ile'],1,11463,11540,62.33766233766234,BSU_tRNA_5
19,gene,['trnO-Ala'],1,11551,11627,65.78947368421053,BSU_tRNA_6
20,tRNA,['trnO-Ala'],1,11551,11627,65.78947368421053,BSU_tRNA_6
21,gene,['rrnO-23S'],1,11708,14636,53.893442622950815,BSU_rRNA_2
22,rRNA,['rrnO-23S'],1,11708,14636,53.893442622950815,BSU_rRNA_2
24,rRNA,['rrnO-5S'],1,14691,14810,57.98319327731093,BSU_rRNA_3
23,gene,['rrnO-5S'],1,14691,14810,57.98319327731093,BSU_rRNA_3
25,gene,['yaaC'],-1,14846,15794,34.59915611814346,BSU_00080
26,CDS,['yaaC'],-1,14846,15794,34.59915611814346,BSU_00080
27,gene,['guaB'],1,15914,17381,43.49011588275392,BSU_00090
28,CDS,['guaB'],1,15914,17381,43.49011588275392,BSU_00090
29,gene,['dacA'],1,17533,18865,40.54054054054054,BSU_00100
30,CDS,['dacA'],1,17533,18865,40.54054054054054,BSU_00100
31,gene,['pdxS'],1,19061,19946,45.98870056497175,BSU_00110
32,CDS,['pdxS'],1,19061,19946,45.98870056497175,BSU_00110
34,CDS,['pdxT'],1,19967,20558,46.36209813874789,BSU_00120
33,gene,['pdxT'],1,19967,20558,46.36209813874789,BSU_00120
35,gene,['tboS'],1,20610,20823,46.478873239436616,BSU_misc_RNA_1
36,misc_RNA,['tboS'],1,20610,20823,46.478873239436616,BSU_misc_RNA_1
37,gene,['serS'],1,20879,22157,44.44444444444444,BSU_00130
38,CDS,['serS'],1,20879,22157,44.44444444444444,BSU_00130
39,gene,['trnSL-Ser1'],1,22291,22384,60.215053763440864,BSU_tRNA_7
40,tRNA,['trnSL-Ser1'],1,22291,22384,60.215053763440864,BSU_tRNA_7
42,CDS,['dck'],-1,22495,23149,37.61467889908257,BSU_00140
41,gene,['dck'],-1,22495,23149,37.61467889908257,BSU_00140
43,gene,['dgk'],-1,23145,23769,40.544871794871796,BSU_00150
44,CDS,['dgk'],-1,23145,23769,40.544871794871796,BSU_00150
